x0,x1,cost,cpu_time,wallclock_time,evaluations
30.0,-27.776906072967368,86077839.74423277,0.1,0.1,0
23.55554620287596,27.122340785103415,27851608.982630357,0.1,0.1,0
-11.007784201608526,29.253844492194432,845026.2891062471,0.1,0.1,0
5.824659815912931,-29.54779119884293,402923.8978648048,0.1,0.1,0
4.537975169616587,-26.654388175805405,223246.1522509307,0.1,0.1,0
6.769994626367172,20.77381112173937,62828.721724727104,0.1,0.1,0
-0.1615698839974477,21.08024083249588,44329.01353663995,0.1,0.1,0
-2.539084003599573,21.159552535624123,21658.599581451203,0.1,0.1,0
-3.0304088967707514,21.432163528790007,15019.518688937604,0.1,0.1,0
-3.885812970711832,26.884379872532342,13912.11049160503,0.1,0.1,0
-4.717965555995395,27.501047212451887,2780.3924113808885,0.1,0.1,0
-4.851341733995877,27.92109005575148,1957.5636361160236,0.1,0.1,0
-5.253314907858989,28.02002927863361,56.97247032973499,0.1,0.1,0
-2.4272782163787774,5.319601621506536,44.47355042171519,0.1,0.1,0
5.429456774534486,29.31499782266291,22.30978715751295,0.1,0.1,0
5.429456774534486,29.58350184559086,20.71213277976113,0.1,0.1,0
-1.551120401130035,2.127103915462904,14.285095526239548,0.1,0.1,0
